"","CYA21V001","PERC_CYEA07V001","PERC_CYEA07V004","store_performance","TOT_NUM_LEADS","NUM_CONVERTED_TO_AGREEMENT","URBANICITY","NUM_EMP_PAY_TYPE_H","MARKETING_EXP_2012","AVG_PAY_RATE_PAY_TYPE_H","AVG_PAY_RATE_PAY_TYPE_S","FRONTAGE_ROAD","SQUARE_FEET","NUM_CUST_ACC_REPS","TOT_ATTRITION_2013","NUM_STORE_MANAGERS"
"14",59.25,0.5598567412,0.31864454,"LOW",11426,443,"Urban",4,681.43,10.835,43000,"Yes",3000,9,5,2
"15",96.07,0.8987830217,0.0554636815,"LOW",13402,383,"Emerging suburban",3,683.48,11.273333333,45000,"Yes",4690,9,7,4
"16",83.09,0.8891395983,0.0667493181,"LOW",15080,621,"Emerging suburban",5,610.27,12.028,48000,"Yes",5280,8,0,0
"17",95.54,0.9575169383,0.0136727095,"LOW",12081,431,"Emerging suburban",5,511.1,12.552,48000,"Yes",3500,10,4,2
"18",77.76,0.7917885039,0.148461179,"LOW",13180,638,"Emerging suburban",5,724.86,11.538,48000,"Yes",4200,11,2,1
"19",119.59,0.79178284,0.0927032983,"LOW",12112,453,"Suburban",4,1986.19,11.2925,47000,"Yes",4070,6,1,1
"20",98.91,0.1808285946,0.7806011373,"HIGH",7874,375,"Suburban",3,781.02,10.366666667,40000,"Yes",4000,6,0,2
"21",59.82,0.7567014696,0.1856282525,"HIGH",11311,469,"Emerging suburban",4,314.82,10.6325,44000,"Yes",6000,5,0,1
"22",127.26,0.6140344871,0.252992799,"LOW",22459,558,"Emerging suburban",7,2446.08,12.052857143,52000,"No",6240,8,4,1
"23",73.61,0.6323334677,0.313978928,"LOW",13682,470,"Emerging suburban",5,2885,11.982,43000,"Yes",5900,6,1,1
"24",71.39,0.4664086604,0.4346738836,"LOW",15415,590,"Suburban",4,586.18,11.3425,51000,"Yes",4500,4,0,1
"25",83.26,0.9343919141,0.0291109716,"LOW",12092,487,"Emerging suburban",4,2012.52,11.91,48000,"Yes",6000,5,3,1
"26",37.73,0.85957214,0.0469842121,"LOW",6502,235,"Suburban",4,1695.6,10.475,45000,"Yes",4276,7,4,2
"27",73.3,0.4262570745,0.5226528043,"LOW",10015,498,"Suburban",4,483.6,12.58,41000,"No",4800,7,0,2
"28",67.83,0.6396339914,0.1971484626,"HIGH",11888,496,"Suburban",4,548.29,12.245,47000,"Yes",5220,3,1,4
"29",69.68,0.6646335051,0.2671387341,"LOW",17403,675,"Emerging suburban",5,1179.18,13.124,51000,"Yes",3600,2,0,0
"30",69.77,0.7782273206,0.1404431093,"HIGH",10330,401,"Emerging suburban",3,329.68,12.386666667,47000,"Yes",4000,6,3,2
"31",45.43,0.5663059404,0.3636180586,"HIGH",8983,344,"Urban",4,1543.93,10.5625,41000,"No",5000,13,5,1
"32",48.65,0.6746151922,0.2203181166,"LOW",11621,371,"Suburban",5,761.98,11.026,44000,"No",7500,6,1,2
"33",106.06,0.9549187253,0.0157142374,"HIGH",9060,306,"Emerging suburban",3,831.83,12.883333333,45000,"Yes",5487,8,3,2
"34",79.27,0.8945188978,0.0732758621,"LOW",8113,429,"Emerging suburban",4,520.77,11.8575,40000,"No",5100,5,2,1
"35",61.27,0.7145323799,0.1985861705,"LOW",10870,555,"Emerging suburban",3,596.22,10.723333333,44000,"No",5200,12,3,2
"36",58.69,0.7135391105,0.2238257571,"HIGH",15701,407,"Suburban",5,1092.76,11.876,45000,"No",8200,7,1,2
"37",54.46,0.7144611865,0.1924126356,"HIGH",15372,583,"Suburban",4,880.6,11.9025,45000,"No",6048,7,2,2
"38",80.72,0.7765927849,0.1035889827,"LOW",8246,344,"Suburban",4,521.81,11.665,45000,"No",3860,4,1,3
"39",51.05,0.195299856,0.7164888471,"LOW",7482,344,"Urban",4,281.89,12.495,42000,"No",7000,5,3,1
"40",44.19,0.6155684682,0.2794322679,"LOW",18168,621,"Suburban",4,418.67,13.35,50000,"No",4550,6,1,1
"41",66.11,0.9455735055,0.014714984,"HIGH",12274,315,"Emerging suburban",3,758.22,11.236666667,40000,"No",3000,11,3,4
"42",50.18,0.8139548961,0.1246376422,"LOW",7393,358,"Urban",4,273.95,13.445,47000,"No",5000,7,1,2
"43",98.67,0.9176900759,0.0201899766,"HIGH",10395,497,"Emerging suburban",4,252.96,12.015,46000,"Yes",4000,12,4,1
"44",91.07,0.8959112349,0.0601217098,"HIGH",9637,495,"Emerging suburban",4,1376.79,10.65,46000,"No",5000,10,2,3
"45",48.22,0.4994099686,0.3191037423,"LOW",11897,322,"Suburban",4,584.28,15.435,50000,"No",3905,7,2,0
"46",63.04,0.6030543745,0.2222605079,"HIGH",18806,497,"Suburban",4,1769.83,11.115,58000,"Yes",4345,12,3,2
"47",40.3,0.8316916083,0.0929247964,"HIGH",10444,410,"Suburban",4,463.37,11.6175,42000,"Yes",3750,2,1,2
"48",67.28,0.6915782421,0.1948565833,"HIGH",18605,592,"Suburban",4,838.37,11.7,60000,"Yes",4500,18,3,0
"49",88.12,0.6645764757,0.2439267788,"HIGH",13276,347,"Emerging suburban",4,458.57,14.875,55000,"No",5850,7,4,1
"50",68.47,0.9783073391,0.0066107197,"LOW",13228,496,"Emerging suburban",4,1487.07,11.2825,52000,"Yes",4700,12,5,1
"51",93.64,0.7534112576,0.052159496,"LOW",7031,240,"Emerging suburban",4,1459.71,11.0675,43000,"Yes",5641,5,3,3
"52",97.96,0.5268387579,0.4192293303,"LOW",12962,373,"Emerging suburban",3,629.15,10.37,52000,"Unable to determine",4800,8,2,1
"53",80.87,0.913176944,0.029784498,"LOW",11583,380,"Emerging suburban",3,818.51,12.326666667,41000,"No",3965,5,1,2
"54",84.19,0.9210160908,0.0289553214,"HIGH",13877,441,"Emerging suburban",3,385.86,11.806666667,0,"No",4000,7,4,0
"55",55.14,0.7247166442,0.2267210904,"HIGH",8325,254,"Suburban",3,314.94,11.35,42000,"Yes",4350,3,5,3
"56",75.95,0.8071365347,0.0258822024,"HIGH",9980,337,"Emerging suburban",4,695.57,11.3525,42000,"No",5000,5,1,0
"57",11.02,0.5924006798,0.0806489884,"LOW",11573,362,"Superurban",5,462.65,12.144,57000,"No",5000,6,0,1
"58",11.93,0.3953880642,0.408633871,"LOW",10426,321,"Superurban",3,758.88,12.23,49000,"No",4788,4,3,1
"59",14.09,0.3846223085,0.3239615011,"HIGH",17028,447,"Superurban",5,836.48,12.068,52000,"Yes",4450,14,7,4
"60",15.6,0.1996736627,0.6760238034,"LOW",14623,420,"Superurban",4,600.52,11.8975,49000,"Yes",4000,7,4,2
"61",40.39,0.553304509,0.236695491,"LOW",10767,412,"Urban",4,471.04,12.71,47000,"No",4500,6,1,2
"62",48.04,0.6254492257,0.0844873652,"HIGH",9895,304,"Urban",5,364.58,12.714,51000,"No",2960,5,1,0
"63",14.25,0.1175811923,0.7918852417,"LOW",13212,333,"Superurban",3,984.86,12.54,50000,"No",3750,7,0,2
"64",38.7,0.5645949763,0.2326591419,"LOW",11726,323,"Urban",3,427.56,13.21,48000,"Yes",3315,2,1,1
"65",10.97,0.6030675749,0.1678683643,"LOW",12294,255,"Superurban",5,376.31,11.992,44000,"No",4072,10,2,2
"66",64.16,0.7216714912,0.1897973705,"LOW",19099,613,"Suburban",5,1669.61,12.146,58000,"Yes",4500,15,2,1
"67",9.88,0.5459612887,0.0824433545,"HIGH",12448,510,"Superurban",4,761.84,11.8875,49000,"Yes",4600,7,3,4
"68",15.44,0.4273928015,0.2657369037,"HIGH",9880,469,"Superurban",5,822.24,12.394,52000,"No",4200,8,2,1
"69",9.18,0.6394665254,0.0447820121,"LOW",15686,479,"Superurban",5,1374.89,13.164,53000,"Yes",4995,7,1,1
"70",52.54,0.6938536396,0.1879057896,"HIGH",6863,283,"Suburban",4,1172.27,12.06,44000,"Yes",3790,13,1,2
"71",13.91,0.1795540056,0.7175353285,"LOW",12611,390,"Superurban",4,1004.42,14.0525,50000,"Yes",6200,4,0,0
"72",12.89,0.4134515762,0.2595478186,"HIGH",15357,348,"Superurban",4,1074.74,12.61,47000,"No",5000,4,1,2
"73",11.47,0.0883461089,0.8086503596,"LOW",10651,241,"Superurban",3,906.72,11.97,46000,"No",5144,13,2,2
"74",11.56,0.4361313869,0.2883838764,"LOW",12720,427,"Superurban",4,521.99,13.325,59000,"No",5650,4,1,1
"75",44.94,0.7969288763,0.0855701536,"LOW",10533,358,"Suburban",4,968.28,12.015,45000,"Yes",4400,8,4,1
"76",13.78,0.2103073958,0.7356464103,"LOW",17232,311,"Superurban",3,1168.95,12.653333333,48000,"No",4500,7,0,0
"77",13.99,0.5215425838,0.1567405849,"LOW",11851,338,"Superurban",4,541.47,10.9875,42000,"No",4055,8,0,5
"78",40.24,0.644862655,0.0520210382,"HIGH",13596,391,"Urban",4,1401.62,11.3525,46000,"No",6000,3,2,2
"79",35.39,0.5857811436,0.1789978818,"HIGH",11978,436,"Urban",4,1054.95,10.5,45000,"Yes",9000,11,2,2
"80",58.39,0.4337819426,0.3164160897,"LOW",9686,442,"Urban",4,600.56,12.0975,48000,"No",6275,6,1,2
"81",75.42,0.6624306315,0.2748953025,"LOW",10181,486,"Suburban",4,338.16,11.855,43000,"Yes",3828,4,3,1
"82",111.78,0.5531299776,0.3509036838,"HIGH",10831,289,"Suburban",4,371.07,11.5025,42000,"No",4800,7,0,1
"83",67.72,0.6635784021,0.2118947998,"HIGH",13691,434,"Emerging suburban",5,286.72,11.602,51000,"Yes",8640,5,0,1
"84",59.73,0.4034103784,0.5446125085,"HIGH",11989,383,"Suburban",4,465.83,12.5175,46000,"Yes",4000,6,0,1
"85",129.4,0.4267750036,0.4989851546,"LOW",10862,318,"Suburban",4,530.59,11.0825,42000,"Yes",6000,5,6,3
"86",91.93,0.4866085047,0.4655603685,"HIGH",9262,333,"Emerging suburban",3,484.4,10.75,40000,"Yes",4000,6,5,1
"87",132.01,0.5408707087,0.422515227,"HIGH",10130,444,"Emerging suburban",4,1693.3,11.61,42000,"Yes",4800,4,2,3
"88",119.76,0.5233460466,0.4063004254,"HIGH",10840,369,"Suburban",4,842.51,12.715,49000,"Yes",6500,5,0,1
"89",95.85,0.205132105,0.7706631323,"HIGH",11000,290,"Emerging suburban",4,892.72,13.08,48000,"Yes",7495,3,0,1
"90",65.11,0.5466504606,0.3787843977,"LOW",11795,359,"Suburban",4,275.59,12.555,44000,"Yes",5820,7,3,1
"91",48.27,0.6486410552,0.1036731435,"LOW",11630,394,"Emerging suburban",4,975.3,11.1875,47000,"Yes",6349,7,0,3
"92",73.83,0.5627959062,0.3677458679,"HIGH",10332,403,"Emerging suburban",3,459.42,12.746666667,48000,"Yes",6000,3,0,2
"93",94.47,0.712146734,0.1883461227,"LOW",8372,317,"Emerging suburban",3,695.7,11.463333333,45000,"Yes",6000,6,1,1
"94",103.06,0.7620270843,0.1846439052,"LOW",8359,309,"Suburban",3,479.4,11.24,41000,"No",5213,3,0,1
"95",87.65,0.7171273777,0.2299600585,"LOW",13390,536,"Emerging suburban",4,208.52,12.4825,47000,"Yes",6246,3,0,0
"96",39.47,0.7780192634,0.1640360566,"HIGH",12835,498,"Suburban",4,581.93,11.125,47000,"No",6000,10,2,1
"97",78.9,0.8769322334,0.0721312017,"LOW",16432,613,"Emerging suburban",4,555.2,11.2625,44000,"No",6480,7,1,2
"98",112.77,0.7391193495,0.1941358875,"LOW",11076,452,"Suburban",4,610.83,11.4775,43000,"Yes",4775,9,2,1
"99",49.68,0.7991501983,0.1122516591,"LOW",12130,404,"Suburban",5,611.28,11.588,49000,"Yes",4536,10,3,0
"100",72.1,0.917844541,0.0467070509,"HIGH",12924,414,"Emerging suburban",3,720.2,11.973333333,51000,"Yes",6166,3,1,1
"101",101.74,0.8203845598,0.1087754807,"LOW",11330,381,"Emerging suburban",4,345.7,10.755,51000,"Yes",4039,5,1,1
"102",41.49,0.7777499907,0.1179281983,"HIGH",12420,395,"Suburban",4,796.67,11.735,48000,"No",5700,10,0,1
"103",69.49,0.7790832294,0.1269765392,"HIGH",8586,298,"Suburban",3,499.96,11.423333333,43000,"Yes",4000,5,0,2
"104",106.22,0.7874634914,0.1175848956,"HIGH",11629,403,"Suburban",4,985.9,12.1075,44000,"No",4620,5,0,1
"105",75.67,0.8156889836,0.1269740756,"LOW",13529,550,"Emerging suburban",4,609.23,11.6225,43000,"Yes",4500,8,4,1
"106",81.78,0.8985661693,0.0634082542,"HIGH",11732,351,"Emerging suburban",4,350.51,11.25,48000,"Yes",4830,5,1,1
"107",78.04,0.8818744386,0.0293941511,"HIGH",11748,410,"Emerging suburban",4,543.09,11.0625,43000,"Yes",3750,11,3,2
"108",256.57,0.9650003022,0.0048358822,"HIGH",19074,777,"Rural",5,1250.46,11.994,48000,"Yes",4600,8,0,1
"109",50.02,0.4940532215,0.3790793189,"LOW",13745,317,"Suburban",5,638.74,12.552,44000,"No",3942,6,2,1
"110",61.69,0.5926301936,0.1851350504,"HIGH",10696,264,"Emerging suburban",4,601.97,11.9475,48000,"No",4250,9,4,1
"111",98.2,0.6605665673,0.169376677,"LOW",13049,459,"Emerging suburban",5,525.92,13.334,53000,"Yes",5500,7,0,2
"112",24.45,0.4497999368,0.3049186585,"HIGH",12098,520,"Superurban",5,808.73,14.4,56000,"No",5600,5,1,1
"113",54.25,0.4932442652,0.3303806403,"HIGH",14395,575,"Suburban",5,1143.12,12.068,53000,"Yes",4200,14,5,0
"114",45.47,0.395206833,0.5285066132,"HIGH",9377,269,"Suburban",5,392.72,11.096,41000,"Yes",5000,11,5,2
"115",49.04,0.5655723132,0.3851893995,"LOW",7996,378,"Urban",4,333.81,12.21,45000,"No",5000,15,6,2
"116",48.31,0.8341639112,0.1204829948,"HIGH",11297,399,"Suburban",4,376.27,12.0125,48000,"No",3637,9,1,3
"117",77,0.6537241333,0.2625336289,"LOW",10208,403,"Suburban",5,934.72,11.242,46000,"Yes",4000,8,4,3
"118",21.8,0.1697904482,0.7663375135,"LOW",10570,416,"Suburban",4,612.03,12.685,47000,"Yes",3200,3,0,1
"119",65.04,0.8577614965,0.0916071856,"HIGH",10025,417,"Emerging suburban",4,760.69,11.4825,44000,"Yes",4500,5,1,1
"120",54.74,0.684895612,0.1919786235,"HIGH",12360,449,"Urban",5,206.47,11.1,52000,"Yes",4033,5,2,0
"121",56.19,0.8088615607,0.1435391988,"LOW",16392,804,"Emerging suburban",6,1066.56,12.72,51000,"Yes",5964,3,1,1
"122",32.15,0.711573823,0.1544455174,"HIGH",11196,469,"Emerging suburban",4,684.79,10.9375,44000,"Yes",5000,7,2,2
"123",20.75,0.4909129432,0.4742808042,"LOW",12807,661,"Suburban",4,1016.86,12.01,48000,"Yes",4424,11,0,1
"124",65.95,0.3644593246,0.5924306117,"LOW",10969,376,"Suburban",5,631.44,12.602,45000,"Yes",4313,4,2,1
"125",61.44,0.8231775479,0.1388750149,"LOW",13831,533,"Suburban",4,430.25,11.15,48000,"Yes",6000,8,4,0
"126",65.89,0.4545832003,0.3907537528,"LOW",9162,344,"Suburban",4,1017.49,11.27,47000,"Yes",4000,14,6,0
"127",91.94,0.5795769921,0.2952983004,"HIGH",10914,389,"Suburban",5,430.32,10.822,45000,"No",4000,11,3,1
"128",90.18,0.4129864493,0.4833632261,"HIGH",13156,339,"Suburban",3,446.76,10.463333333,47000,"No",5180,14,10,2
"129",52.85,0.4635075357,0.4126760664,"LOW",13859,431,"Suburban",4,1354.5,11.1375,42000,"Yes",6042,10,1,3
"130",75.36,0.4043887622,0.4210833289,"LOW",11797,336,"Suburban",5,415.76,11.2,45000,"Yes",4115,9,3,3
"131",85.19,0.4589513963,0.4816108249,"LOW",11048,325,"Suburban",4,506.88,11.3025,45000,"No",4542,9,5,2
"132",225.82,0.4431530056,0.4316871228,"HIGH",10737,357,"Emerging suburban",5,689.06,11.842,47000,"Yes",4273,5,2,0
"133",32.41,0.4059546794,0.4937167632,"LOW",9794,285,"Emerging suburban",3,867.38,11.016666667,42000,"Yes",5561,9,6,2
"134",95.67,0.4777694589,0.4631266738,"HIGH",14288,1013,"Emerging suburban",6,574.36,10.74,48000,"Yes",5500,8,2,2
"135",126.21,0.5759921314,0.3294988026,"LOW",11848,599,"Emerging suburban",4,1470.91,10.7925,40000,"No",4200,6,0,1
"136",81.4,0.5113479752,0.4150514274,"LOW",10428,316,"Suburban",4,1479.58,10.2275,41000,"No",4000,10,4,1
"137",105.57,0.2998001669,0.6666076442,"LOW",15657,595,"Emerging suburban",5,1046.57,11.476,50000,"Yes",4600,9,1,0
"138",107.77,0.3592992197,0.5662569905,"HIGH",10622,296,"Suburban",5,835.78,10.624,0,"No",4000,10,1,2
"139",76.4,0.3150304443,0.6444715545,"LOW",14159,448,"Emerging suburban",5,522.37,10.714,46000,"Yes",7200,7,2,0
"140",122.24,0.3265578545,0.6136156787,"HIGH",7455,333,"Emerging suburban",2,394.28,10.365,38000,"Yes",4000,7,6,2
"141",79.12,0.6352941176,0.3282988871,"LOW",9035,363,"Emerging suburban",5,505.64,12.732,45000,"Yes",3600,5,1,1
"142",89.26,0.5995829794,0.3082573944,"HIGH",13163,416,"Suburban",4,484.74,10.79,44000,"No",5000,6,2,1
"143",68.6,0.4976280835,0.4333910035,"HIGH",16388,420,"Emerging suburban",5,1143.07,10.922,45000,"No",4500,9,2,2
"144",79.01,0.1945165962,0.6503654836,"LOW",12270,425,"Suburban",4,820.37,14.875,60000,"Yes",5000,8,2,1
"145",64.94,0.5352357148,0.417343609,"LOW",12143,456,"Emerging suburban",4,337.09,11.945,46000,"No",3200,5,2,1
"146",92.88,0.6287731823,0.3079459921,"LOW",12716,356,"Emerging suburban",4,464.36,10.7525,41000,"Yes",4000,11,5,1
"147",79.62,0.7173240736,0.1642884271,"HIGH",13500,470,"Emerging suburban",4,472.96,12.4375,49880.43,"Yes",6000,4,1,0
"148",55.87,0.407513313,0.4639149624,"LOW",12295,491,"Suburban",6,697.66,10.968333333,50000,"Yes",5055,7,1,2
"149",87.89,0.8713938497,0.0534009652,"HIGH",14499,576,"Emerging suburban",4,1258.7,11.2225,46000,"Yes",3200,5,0,2
"150",96.44,0.5888633916,0.3458998736,"HIGH",11573,472,"Suburban",4,851.2,12.1725,46000,"Yes",4965,4,0,0
"151",79.81,0.2982588948,0.6646709334,"HIGH",8985,438,"Emerging suburban",4,817.74,11.5575,45000,"Yes",4320,7,1,1
"152",86.55,0.4620462717,0.4614978367,"HIGH",11310,477,"Emerging suburban",4,819.55,11.855,43000,"No",4600,4,0,1
"153",61.57,0.4333628842,0.4493849734,"HIGH",11125,351,"Suburban",4,790.01,11.06,43000,"Yes",6525,5,0,2
"154",123.19,0.6029592742,0.2374001889,"LOW",10579,377,"Emerging suburban",4,1457.66,10.8375,46000,"Yes",4000,13,2,2
"155",39.39,0.6282606229,0.2379585948,"HIGH",10139,379,"Emerging suburban",4,488.19,11.5775,45000,"Yes",3600,15,2,1
"156",87.59,0.6592538472,0.2452166766,"LOW",9679,312,"Emerging suburban",3,479.08,11.616666667,49992.8,"Yes",4000,3,3,1
"157",74.64,0.7428294477,0.0975294527,"HIGH",10292,465,"Emerging suburban",4,543.51,10.5975,44000,"No",5500,7,0,1
"158",78.5,0.809486807,0.1131457144,"HIGH",11888,476,"Emerging suburban",4,627.91,10.2275,45000,"Yes",6000,6,4,2
"159",65.45,0.6406841248,0.2676857537,"LOW",13339,360,"Emerging suburban",4,1013.35,11.775,40000,"No",4400,6,4,3
"160",108.52,0.5167048055,0.4203661327,"HIGH",10879,427,"Emerging suburban",4,496.85,11.2875,42000,"Yes",6000,7,2,4
"161",89.52,0.425649334,0.5123190199,"HIGH",10490,387,"Suburban",4,707.98,10.8125,43000,"Yes",5074,7,5,2
"162",51.59,0.5525739254,0.3488078919,"HIGH",12899,403,"Suburban",4,815.3,11.0775,43000,"Yes",4500,10,1,2
"163",54.96,0.1550158285,0.8199439514,"HIGH",10385,291,"Suburban",4,847.37,11.32,45000,"Yes",7875,12,6,0
"164",87.39,0.7098460155,0.2227717208,"HIGH",12147,451,"Emerging suburban",3,1641.57,11.58,48000,"No",10000,5,2,1
"165",58.66,0.4281989421,0.5220805299,"LOW",9330,323,"Emerging suburban",4,612.05,10.8475,44000,"Yes",6210,6,1,1
"166",97.11,0.5581976429,0.4095420536,"HIGH",8738,320,"Emerging suburban",3,698.89,11.63,40000,"Yes",6793,4,0,3
"167",86.99,0.4504682559,0.4992094381,"LOW",10302,338,"Emerging suburban",5,454.86,10.596,41000,"No",6000,9,2,3
"168",93.1,0.4509747952,0.5034538863,"HIGH",7713,357,"Emerging suburban",4,296.96,10.845,43000,"Yes",5000,11,3,2
"169",36.72,0.7965140407,0.1374622058,"LOW",12286,473,"Emerging suburban",4,709.29,11.505,42000,"Yes",4769,4,4,3
"170",31.59,0.7568352097,0.0491115208,"LOW",18584,352,"Urban",4,871.6,10.245,41000,"No",4000,14,8,4
"171",30.96,0.4340775231,0.1614036135,"HIGH",15426,551,"Suburban",3,888.33,11.84,42000,"Yes",4183,7,0,3
"172",58.68,0.7443581405,0.0174967076,"LOW",14634,621,"Urban",5,1432.83,11.604,47000,"Yes",5390,14,3,1
"173",47.86,0.5533277866,0.1849139126,"HIGH",13505,487,"Urban",5,1149.33,11.872,49000,"Yes",5568,4,2,1
"174",68.11,0.728805389,0.0289481263,"HIGH",17698,450,"Suburban",4,1901.41,12.77,49000,"Yes",4808,2,2,2
"175",57.2,0.4074374927,0.4696842352,"HIGH",13069,408,"Urban",4,1073.87,11.2625,0,"No",4840,5,2,1
"176",57.94,0.5194205175,0.4124886167,"LOW",13382,359,"Suburban",4,524.39,12.9,45000,"Yes",4250,10,1,0
"177",52.49,0.3542230354,0.6065658258,"LOW",12034,308,"Suburban",5,1440.95,11.944,48000,"Yes",4320,13,5,1
"178",122,0.635074811,0.3075663429,"LOW",8966,366,"Emerging suburban",4,266.51,11.4,41000,"No",4200,9,2,2
"179",44.98,0.7323468527,0.1319810298,"LOW",9493,266,"Urban",3,644.67,11.533333333,45000,"Yes",6000,3,1,2
"180",76.55,0.3525268423,0.598619314,"LOW",8777,240,"Suburban",3,461.8,10.966666667,45000,"Yes",7000,7,4,2
"181",51.51,0.3209755292,0.6251170305,"LOW",9392,213,"Suburban",5,597.32,10.1,42000,"No",5000,8,5,2
"182",128.31,0.6021697779,0.3514524293,"HIGH",11483,342,"Emerging suburban",4,577.12,10.78,46000,"Yes",3750,6,2,1
"183",63.47,0.6027275513,0.3554397793,"LOW",9072,269,"Emerging suburban",4,509.37,11.015,48000,"Yes",5400,11,4,4
"184",112.5,0.6987048589,0.1866066184,"LOW",11499,374,"Emerging suburban",4,1076.31,10.4725,44000,"Yes",5630,5,3,2
"185",82.39,0.6484249641,0.3025082341,"LOW",9555,277,"Emerging suburban",3,523.41,10.706666667,40000,"Yes",4500,2,0,3
"186",87.44,0.93314367,0.0065883058,"HIGH",13223,402,"Emerging suburban",4,663.2,10.4225,60000,"No",4900,10,1,1
"187",80.75,0.1958738402,0.774422876,"HIGH",8918,311,"Emerging suburban",4,285.75,11.59,44000,"Yes",4200,5,1,2
"188",87.94,0.7981817614,0.0335843044,"HIGH",11210,262,"Emerging suburban",3,516.02,9.6833333333,37000,"Yes",4600,8,1,2
"189",91.96,0.771856632,0.1754490526,"LOW",9656,402,"Emerging suburban",4,968.57,12.0325,41000,"No",4015,7,2,2
"190",97.31,0.8660272931,0.0883856521,"HIGH",11223,391,"Emerging suburban",4,374.43,11.5075,47000,"Yes",4800,3,0,1
"191",354.44,0.6458972543,0.331523877,"LOW",11338,387,"Rural",4,455.23,10.91,44000,"Yes",9100,4,2,1
"192",91.41,0.5814752358,0.3580038723,"HIGH",10052,386,"Emerging suburban",4,805.35,10.5175,43000,"No",4472,5,2,3
"193",107.28,0.8052182206,0.121604506,"LOW",13943,390,"Emerging suburban",4,729.43,11.2475,51000,"No",5600,4,0,1
"194",79.09,0.7334540789,0.2224737756,"LOW",8892,339,"Emerging suburban",4,519.59,10.9925,55000,"Yes",5032,11,0,1
"195",49.08,0.6194348978,0.1605320461,"LOW",9377,347,"Emerging suburban",3,1002.24,10.863333333,39000,"Yes",3900,7,2,4
"196",72.11,0.5430407718,0.1537191037,"HIGH",7890,425,"Urban",4,728.21,11.5925,46000,"No",4500,6,2,2
"197",57.22,0.4447482938,0.2715700029,"HIGH",11303,396,"Suburban",4,585.15,11.7625,44000,"No",4000,8,2,2
"198",33.15,0.3681578928,0.3182234131,"HIGH",9400,406,"Urban",4,1017.28,11.2175,43000,"Yes",3575,7,3,3
"199",69.86,0.701704292,0.1586508432,"LOW",9379,352,"Emerging suburban",4,566.46,10.5625,44000,"Yes",5920,13,5,2
"200",78.34,0.3817771755,0.4822885858,"LOW",10735,450,"Suburban",4,696.62,12.0775,48000,"No",4800,10,3,2
"201",52.62,0.7994090957,0.0662023847,"LOW",11744,491,"Emerging suburban",4,426.05,11.265,47000,"Yes",5250,3,0,0
"202",53.63,0.5504023482,0.2623160827,"HIGH",12552,433,"Suburban",4,941.67,12.94,51000,"Yes",5479,9,1,1
"203",66.02,0.4927800094,0.2202767812,"LOW",8015,311,"Urban",3,2017.67,10.806666667,60000,"Yes",5103,6,4,3
"204",68.69,0.4004991044,0.3402307257,"LOW",7891,280,"Urban",4,451,10.625,42000,"Yes",1932,10,5,3
"205",43.38,0.6868169599,0.0455043539,"LOW",8251,309,"Urban",2,938.02,12.69,39000,"No",5088,5,4,1
"206",46.99,0.414838263,0.2694257417,"HIGH",11619,405,"Urban",4,1149.46,11.3025,46000,"Yes",2940,5,1,2
